epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,loss_gap_val_minus_train,auc_gap_train_minus_val
1,0.634948228305076,0.6510989010989011,0.6668290985033066,0.5846465103817682,0.7153284671532847,0.7757696346653402,-0.05030171792330784,-0.10894053616203359
2,0.38685151918248817,0.8516483516483516,0.9324121127741036,0.6853621345366875,0.7299270072992701,0.7564804067871552,0.2985106153541993,0.1759317059869484
3,0.20024501775210593,0.9267399267399268,0.9829202923773059,0.7283245381647653,0.6788321167883211,0.7412258884651521,0.5280795204126594,0.2416944039121538
4,0.14811028458259917,0.9542124542124543,0.9866655064392622,0.8606330774126262,0.708029197080292,0.7580279666169237,0.7125227928300271,0.22863753982233848
5,0.10729420135964404,0.967948717948718,0.9939575356769927,0.8508212057343365,0.7299270072992701,0.7593544464710108,0.7435270043746924,0.23460308920598194
6,0.07415976502929196,0.9716117216117216,0.9973407587887226,0.9594033410514358,0.718978102189781,0.7631128060575912,0.8852435760221438,0.2342279527311314
7,0.06554323363871802,0.9771062271062271,0.9976679429168117,0.9971772793435703,0.7153284671532847,0.7537721770850605,0.9316340457048522,0.2438957658317512
8,0.056588727776165845,0.9816849816849816,0.9981482770623042,1.0561554814777234,0.7335766423357665,0.7673685955894546,0.9995667537015576,0.23077968147284966
9,0.07039560839165371,0.978021978021978,0.9963557257222415,1.0382107035086974,0.6751824817518248,0.7450947880395733,0.9678150951170437,0.2512609376826682
10,0.09120140975211566,0.9697802197802198,0.9945040027845458,1.0889167063427667,0.7043795620437956,0.7574752666777206,0.9977152965906511,0.23702873610682518
